dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
poisson-separated-n5000-d2-seed42,synthetic,poisson,separated_clusters,5000,2,42,False,70,13,21,2,1,1,True,1
poisson-separated-n5000-d10-seed42,synthetic,poisson,separated_clusters,5000,10,42,False,70,4,33,1,1,1,True,1
poisson-separated-n5000-d32-seed42,synthetic,poisson,separated_clusters,5000,32,42,False,70,1,65,31,1,1,True,1
poisson-separated-n5000-d64-seed42,synthetic,poisson,separated_clusters,5000,64,42,False,70,1,91,1,1,1,True,1
poisson-separated-n5000-d128-seed42,synthetic,poisson,separated_clusters,5000,128,42,False,70,0,120,70,1,1,True,1
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,10000,2,42,False,100,12,18,3,1,1,False,5
poisson-separated-n10000-d10-seed42,synthetic,poisson,separated_clusters,10000,10,42,False,100,3,51,9,1,1,True,1
poisson-separated-n10000-d32-seed42,synthetic,poisson,separated_clusters,10000,32,42,False,100,0,109,100,1,1,True,1
poisson-separated-n10000-d64-seed42,synthetic,poisson,separated_clusters,10000,64,42,False,100,0,227,100,1,1,True,1
poisson-separated-n10000-d128-seed42,synthetic,poisson,separated_clusters,10000,128,42,False,100,0,343,100,1,1,True,1
poisson-separated-n25000-d2-seed42,synthetic,poisson,separated_clusters,25000,2,42,False,158,0,2531,158,6,24,False,117
poisson-separated-n25000-d10-seed42,synthetic,poisson,separated_clusters,25000,10,42,False,158,2,104,64,1,1,True,1
poisson-separated-n25000-d32-seed42,synthetic,poisson,separated_clusters,25000,32,42,False,158,0,327,158,1,1,True,1
poisson-separated-n25000-d64-seed42,synthetic,poisson,separated_clusters,25000,64,42,False,158,0,776,158,1,1,True,1
poisson-separated-n25000-d128-seed42,synthetic,poisson,separated_clusters,25000,128,42,False,158,0,1366,158,1,1,True,1
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,50000,2,42,False,223,0,14649,223,11,22,False,267
poisson-separated-n50000-d10-seed42,synthetic,poisson,separated_clusters,50000,10,42,False,223,2,157,51,1,1,True,1
poisson-separated-n50000-d32-seed42,synthetic,poisson,separated_clusters,50000,32,42,False,223,0,746,223,1,1,True,1
poisson-separated-n50000-d64-seed42,synthetic,poisson,separated_clusters,50000,64,42,False,223,0,1949,223,1,1,True,1
poisson-separated-n50000-d128-seed42,synthetic,poisson,separated_clusters,50000,128,42,False,223,0,3463,223,1,1,True,1
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,100000,2,42,False,316,0,46160,316,87,88,False,635
poisson-separated-n100000-d10-seed42,synthetic,poisson,separated_clusters,100000,10,42,False,316,2,302,31,1,1,True,1
poisson-separated-n100000-d32-seed42,synthetic,poisson,separated_clusters,100000,32,42,False,316,0,1608,316,1,1,True,1
poisson-separated-n100000-d64-seed42,synthetic,poisson,separated_clusters,100000,64,42,False,316,0,4525,316,1,1,True,1
poisson-separated-n100000-d128-seed42,synthetic,poisson,separated_clusters,100000,128,42,False,316,0,8537,316,1,1,True,1
poisson-separated-n200000-d2-seed42,synthetic,poisson,separated_clusters,200000,2,42,False,447,0,105531,447,71,80,False,1198
poisson-separated-n200000-d10-seed42,synthetic,poisson,separated_clusters,200000,10,42,False,447,1,320,311,1,1,True,1
poisson-separated-n200000-d32-seed42,synthetic,poisson,separated_clusters,200000,32,42,False,447,0,3470,447,2,2,True,1
poisson-separated-n200000-d64-seed42,synthetic,poisson,separated_clusters,200000,64,42,False,447,0,9924,447,1,1,True,1
poisson-separated-n200000-d128-seed42,synthetic,poisson,separated_clusters,200000,128,42,False,447,0,20416,447,1,1,True,1
poisson-separated-n500000-d2-seed42,synthetic,poisson,separated_clusters,500000,2,42,False,707,0,299981,707,124,140,False,2886
poisson-separated-n500000-d10-seed42,synthetic,poisson,separated_clusters,500000,10,42,False,707,1,608,452,3,3,True,1
poisson-separated-n500000-d32-seed42,synthetic,poisson,separated_clusters,500000,32,42,False,707,0,8779,707,2,2,True,1
poisson-separated-n500000-d64-seed42,synthetic,poisson,separated_clusters,500000,64,42,False,707,0,28322,707,1,1,True,1
poisson-separated-n500000-d128-seed42,synthetic,poisson,separated_clusters,500000,128,42,False,707,0,65316,707,2,3,True,1
poisson-separated-n1000000-d2-seed42,synthetic,poisson,separated_clusters,1000000,2,42,False,1000,0,638679,1000,2,27,False,5618
poisson-separated-n1000000-d10-seed42,synthetic,poisson,separated_clusters,1000000,10,42,False,1000,1,921,570,3,3,True,1
poisson-separated-n1000000-d32-seed42,synthetic,poisson,separated_clusters,1000000,32,42,False,1000,0,17478,1000,3,6,True,1
poisson-separated-n1000000-d64-seed42,synthetic,poisson,separated_clusters,1000000,64,42,False,1000,0,62288,1000,1,1,True,1
poisson-separated-n1000000-d128-seed42,synthetic,poisson,separated_clusters,1000000,128,42,False,1000,0,154622,1000,1,1,True,1
chi_square-separated-n1000-d2-seed42,synthetic,chi_square,separated_clusters,1000,2,42,False,31,9,6,6,1,1,True,1
chi_square-separated-n1000-d10-seed42,synthetic,chi_square,separated_clusters,1000,10,42,False,31,4,4,4,1,1,True,1
chi_square-separated-n1000-d32-seed42,synthetic,chi_square,separated_clusters,1000,32,42,False,31,1,21,17,1,1,True,1
chi_square-separated-n1000-d64-seed42,synthetic,chi_square,separated_clusters,1000,64,42,False,31,1,31,1,1,1,True,1
chi_square-separated-n1000-d128-seed42,synthetic,chi_square,separated_clusters,1000,128,42,False,31,0,38,31,1,1,True,1
chi_square-separated-n5000-d2-seed42,synthetic,chi_square,separated_clusters,5000,2,42,False,70,17,7,3,1,1,True,1
chi_square-separated-n5000-d10-seed42,synthetic,chi_square,separated_clusters,5000,10,42,False,70,4,32,14,1,1,True,1
chi_square-separated-n5000-d32-seed42,synthetic,chi_square,separated_clusters,5000,32,42,False,70,1,77,8,1,1,True,1
chi_square-separated-n5000-d64-seed42,synthetic,chi_square,separated_clusters,5000,64,42,False,70,0,206,70,1,1,True,1
chi_square-separated-n5000-d128-seed42,synthetic,chi_square,separated_clusters,5000,128,42,False,70,0,478,70,1,1,True,1
chi_square-separated-n10000-d2-seed42,synthetic,chi_square,separated_clusters,10000,2,42,False,100,18,12,2,1,1,True,1
chi_square-separated-n10000-d10-seed42,synthetic,chi_square,separated_clusters,10000,10,42,False,100,4,39,19,1,1,True,1
chi_square-separated-n10000-d32-seed42,synthetic,chi_square,separated_clusters,10000,32,42,False,100,0,130,100,1,1,True,1
chi_square-separated-n10000-d64-seed42,synthetic,chi_square,separated_clusters,10000,64,42,False,100,0,450,100,1,1,True,1
chi_square-separated-n10000-d128-seed42,synthetic,chi_square,separated_clusters,10000,128,42,False,100,0,1013,100,2,2,True,1
chi_square-separated-n25000-d2-seed42,synthetic,chi_square,separated_clusters,25000,2,42,False,158,22,13,13,1,1,True,1
chi_square-separated-n25000-d10-seed42,synthetic,chi_square,separated_clusters,25000,10,42,False,158,4,70,24,1,1,True,1
chi_square-separated-n25000-d32-seed42,synthetic,chi_square,separated_clusters,25000,32,42,False,158,0,299,158,1,1,True,1
chi_square-separated-n25000-d64-seed42,synthetic,chi_square,separated_clusters,25000,64,42,False,158,0,1124,158,1,1,True,1
chi_square-separated-n25000-d128-seed42,synthetic,chi_square,separated_clusters,25000,128,42,False,158,0,2992,158,1,1,True,1
chi_square-separated-n50000-d2-seed42,synthetic,chi_square,separated_clusters,50000,2,42,False,223,24,29,20,1,1,True,1
chi_square-separated-n50000-d10-seed42,synthetic,chi_square,separated_clusters,50000,10,42,False,223,4,93,6,1,1,True,1
chi_square-separated-n50000-d32-seed42,synthetic,chi_square,separated_clusters,50000,32,42,False,223,0,531,223,2,2,True,1
chi_square-separated-n50000-d64-seed42,synthetic,chi_square,separated_clusters,50000,64,42,False,223,0,2169,223,1,1,True,1
chi_square-separated-n50000-d128-seed42,synthetic,chi_square,separated_clusters,50000,128,42,False,223,0,6114,223,1,1,True,1
chi_square-separated-n100000-d2-seed42,synthetic,chi_square,separated_clusters,100000,2,42,False,316,25,53,41,1,1,True,1
chi_square-separated-n100000-d10-seed42,synthetic,chi_square,separated_clusters,100000,10,42,False,316,3,131,126,1,1,True,1
chi_square-separated-n100000-d32-seed42,synthetic,chi_square,separated_clusters,100000,32,42,False,316,0,963,316,1,2,True,1
chi_square-separated-n100000-d64-seed42,synthetic,chi_square,separated_clusters,100000,64,42,False,316,0,4249,316,1,2,True,1
