benchmark_group,dataset,family,distribution,structure,n_samples,n_features,n_clusters_true,seed,normalized,k,k_max,reference_method,hai_definition,method,method_key,status,error,fit_seconds,extract_seconds,total_seconds,workflow_seconds_contribution,n_clusters_found,ari_vs_hdbscan_generic,ari_vs_true,hai,mst_edge_jaccard,mst_common_edges,mst_method_edges,mst_reference_edges,mst_weight_mae_common,mst_weight_rmse_common
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,42,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.30425492499489337,18.66237754499889,0.30425492499489337,10,1.0,1.0,0.8359999493119998,0.9782350613375544,4944,4999,4999,2.243529279896369e-07,2.807883990661793e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,42,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.29863491997821257,1.3369886699947529,0.29863491997821257,10,1.0,1.0,0.8999999493120003,0.9782350613375544,4944,4999,4999,2.243529279896369e-07,2.807883990661793e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,41,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7703680170234293,0.0,1.7703680170234293,1.7703680170234293,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,41,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6534425829886459,0.0,0.6534425829886459,0.6534425829886459,10,1.0,1.0,0.999999911328,0.02239492790673893,219,4999,4999,1.5127422399458754e-14,1.9112404959086495e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,41,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3060535930271726,18.66417621303117,0.3060535930271726,10,1.0,1.0,0.8359999376639999,0.9794100178182538,4947,4999,4999,2.2676058906503492e-07,2.85499652130994e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,41,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.29448340597446077,1.332837155991001,0.29448340597446077,10,1.0,1.0,0.8999999376640003,0.9794100178182538,4947,4999,4999,2.2676058906503492e-07,2.85499652130994e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,40,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7716136160015594,0.0,1.7716136160015594,1.7716136160015594,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,40,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.7086436710087582,0.0,0.7086436710087582,0.7086436710087582,10,1.0,1.0,0.999999924736,0.02302261332241891,225,4999,4999,1.6914864570733496e-14,2.1060672939545436e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,40,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.30341562698595226,18.66153824698995,0.30341562698595226,10,1.0,1.0,0.8359999471359998,0.9762798972128879,4939,4999,4999,2.3008009170263124e-07,2.8722671159689225e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,40,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.29946033499436453,1.3378140850109048,0.29946033499436453,10,1.0,1.0,0.8999999471360003,0.9762798972128879,4939,4999,4999,2.3008009170263124e-07,2.8722671159689225e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,39,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.777800620009657,0.0,1.777800620009657,1.777800620009657,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,39,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.7169442220183555,0.0,0.7169442220183555,0.7169442220183555,10,1.0,1.0,0.999999931648,0.023336745138178096,228,4999,4999,1.685201685799448e-14,2.133562915484704e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,39,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.29730131500400603,18.655423935008002,0.29730131500400603,10,1.0,1.0,0.8359999442239998,0.9747185463164132,4935,4999,4999,2.2827218928699442e-07,2.850644478438081e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,39,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.2931318590126466,1.331485609029187,0.2931318590126466,10,1.0,1.0,0.8999999442240003,0.9747185463164132,4935,4999,4999,2.2827218928699442e-07,2.850644478438081e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,38,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.822413445013808,0.0,1.822413445013808,1.822413445013808,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,38,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6856689289852511,0.0,0.6856689289852511,0.6856689289852511,10,1.0,1.0,0.999999915808,0.024280299149677286,237,4999,4999,1.724827500704568e-14,2.2067004468830667e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,38,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3040304460155312,18.662153066019528,0.3040304460155312,10,1.0,1.0,0.8359999487359999,0.9770614989123987,4941,4999,4999,2.2801875692697577e-07,2.836199813346849e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,38,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.2961611119972076,1.334514862013748,0.2961611119972076,10,1.0,1.0,0.8999999487360003,0.9770614989123987,4941,4999,4999,2.2801875692697577e-07,2.836199813346849e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,37,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8326103319996037,0.0,1.8326103319996037,1.8326103319996037,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,37,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.7010034910053946,0.0,0.7010034910053946,0.7010034910053946,10,1.0,1.0,0.99999990128,0.025541081136526825,249,4999,4999,1.5862367198419506e-14,2.078482767682719e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,37,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.29848709699581377,18.65660971699981,0.29848709699581377,10,1.0,1.0,0.8359999288319998,0.9731596605486481,4931,4999,4999,2.2602566298936826e-07,2.833231445929109e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,37,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.30189405000419356,1.3402478000207338,0.30189405000419356,10,1.0,1.0,0.8999999288320003,0.9731596605486481,4931,4999,4999,2.2602566298936826e-07,2.833231445929109e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,36,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8191645029874053,0.0,1.8191645029874053,1.8191645029874053,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,36,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.798008943995228,0.0,0.798008943995228,0.798008943995228,10,1.0,1.0,0.999999927968,0.02617263676485682,255,4999,4999,1.5880978449500865e-14,2.1102544745801904e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,36,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.30671013399842195,18.66483275400242,0.30671013399842195,10,1.0,1.0,0.8359999455999998,0.9673356946084218,4916,4999,4999,2.2760700717317528e-07,2.865629559232307e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,36,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.3022821450140327,1.340635895030573,0.3022821450140327,10,1.0,1.0,0.8999999456000003,0.9673356946084218,4916,4999,4999,2.2760700717317528e-07,2.865629559232307e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,35,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8196570979780518,0.0,1.8196570979780518,1.8196570979780518,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,35,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8287597410089802,0.0,0.8287597410089802,0.8287597410089802,10,1.0,1.0,0.9999999008,0.027754934210526317,270,4999,4999,1.6967497365974986e-14,2.20265727851683e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,35,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3039661859802436,18.66208880598424,0.3039661859802436,10,1.0,1.0,0.8359999348479998,0.9684977357747588,4919,4999,4999,2.2762761629396068e-07,2.8466305352205544e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,35,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.3061325750022661,1.3444863250188064,0.3061325750022661,10,1.0,1.0,0.8999999348480002,0.9684977357747588,4919,4999,4999,2.2762761629396068e-07,2.8466305352205544e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,34,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8009055010043085,0.0,1.8009055010043085,1.8009055010043085,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,34,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.9211843989905901,0.0,0.9211843989905901,0.9211843989905901,10,1.0,1.0,0.999999932096,0.027860594222267915,271,4999,4999,1.6369029952739023e-14,2.0811717207443886e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,34,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3105639689892996,18.668686588993296,0.3105639689892996,10,1.0,1.0,0.8359999599679999,0.9592396629433666,4895,4999,4999,2.2659034106092206e-07,2.843129157936918e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,34,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.30532402099925093,1.3436777710157912,0.30532402099925093,10,1.0,1.0,0.8999999599680003,0.9592396629433666,4895,4999,4999,2.2659034106092206e-07,2.843129157936918e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,33,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7737393230199814,0.0,1.7737393230199814,1.7737393230199814,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,33,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8260745570005383,0.0,0.8260745570005383,0.8260745570005383,10,1.0,1.0,0.999999934976,0.029872270292542233,290,4999,4999,1.620313079111556e-14,2.087260013081543e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,33,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3073508780216798,18.665473498025676,0.3073508780216798,10,1.0,1.0,0.8359999625279997,0.9665617623918175,4914,4999,4999,2.2699222699928876e-07,2.8503120415674337e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,33,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.3040845840005204,1.3424383340170607,0.3040845840005204,10,1.0,1.0,0.8999999625280003,0.9665617623918175,4914,4999,4999,2.2699222699928876e-07,2.8503120415674337e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,32,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7650103259948082,0.0,1.7650103259948082,1.7650103259948082,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,32,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6907414220040664,0.0,0.6907414220040664,0.6907414220040664,10,1.0,1.0,0.999999949184,0.03061540047417792,297,4999,4999,1.727761218793762e-14,2.221876542582629e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,32,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.3009495440055616,18.659072164009558,0.3009495440055616,10,1.0,1.0,0.8359999494079999,0.9696611505122144,4922,4999,4999,2.2603214661299927e-07,2.829341742377775e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,32,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.3001738400198519,1.3385275900363922,0.3001738400198519,10,1.0,1.0,0.8999999494080002,0.9696611505122144,4922,4999,4999,2.2603214661299927e-07,2.829341742377775e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,31,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7957108299888205,0.0,1.7957108299888205,1.7957108299888205,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,31,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6931589150044601,0.0,0.6931589150044601,0.6931589150044601,10,1.0,1.0,0.999999912928,0.03135960387868785,304,4999,4999,1.6257463211912324e-14,2.129653664387757e-14
