dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n50000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,128,42,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,3213,223,1,1,36.40704083799983,6.819804425000029
gaussian-separated-n100000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,2,42,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,17,44,9,1,1,42.17114440399996,13.817793648000134
gaussian-separated-n100000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,10,42,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,1,309,148,2,2,42.02514900599999,13.92997182199997
gaussian-separated-n100000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,32,42,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,1989,316,1,2,43.57526410599985,11.429934683000056
gaussian-separated-n100000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,64,42,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,4636,316,1,2,47.23217411099995,10.966221083999926
gaussian-separated-n100000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,128,42,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,8341,316,1,1,50.74296067499995,11.720191941999929
gaussian-separated-n200000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,2,42,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,19,46,1,1,1,55.42298067300021,23.225011319000032
gaussian-separated-n200000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,10,42,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,1,595,161,2,3,61.62387965899984,22.953875317999973
gaussian-separated-n200000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,32,42,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,4331,447,1,1,71.53073261100008,21.299865347999912
gaussian-separated-n200000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,64,42,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,10847,447,5,5,81.16699147299983,23.651449824999872
gaussian-separated-n200000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,128,42,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,20469,447,2,3,95.7213921880002,21.223869078000007
gaussian-separated-n500000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,2,42,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,22,65,18,1,1,114.5191510880004,67.18251307199989
gaussian-separated-n500000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,10,42,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,1,1061,170,2,2,133.2677282220002,59.1142151869999
gaussian-separated-n500000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,32,42,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,11701,707,1,2,192.3257004469997,70.87107727600005
gaussian-separated-n500000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,64,42,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,32277,707,2,2,217.757994777,73.35410111900046
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n1000000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,2,42,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,24,78,66,1,1,238.13565382399972,157.71068809500048
gaussian-separated-n1000000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,10,42,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,1,1796,96,1,4,269.617987523,145.2002735219994
gaussian-separated-n1000000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,32,42,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,24269,1000,4,4,362.8113338989997,146.814563334
gaussian-separated-n1000000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,64,42,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,73268,1000,3,3,459.0797165510003,150.31844733799971
gaussian-separated-n1000000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,128,42,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,160467,1000,1,1,552.6703300370009,145.96931839099852
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,2,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,13,3,3,1,1,18.895487822999712,0.1364884319991688
poisson-separated-n1000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,10,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,8,5,1,1,18.66586493899922,0.1460260919993743
poisson-separated-n1000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,32,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,12,6,1,1,18.861033004999623,0.1458254640001541
poisson-separated-n1000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,64,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,13,4,1,1,18.910415152000496,0.15405653200105
poisson-separated-n1000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,128,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,3,15,13,1,1,18.920587892000185,0.143028365999271
poisson-separated-n5000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,2,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,13,21,2,1,1,19.30480156500016,0.715032837999388
poisson-separated-n5000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,10,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,4,33,1,1,1,19.776906097999017,0.714020318000621
poisson-separated-n5000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,32,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,31,1,1,19.787467226000444,0.7446381080007995
poisson-separated-n5000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,64,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,91,1,1,1,19.6516850930002,0.679518150000149
