dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
chi_square-separated-n1000-d10-seed42,synthetic,chi_square,separated_clusters,1000,10,42.0,False,31,4,4,4,1,1,True,1
chi_square-iid-n1000-d32-seed42,synthetic,chi_square,iid,1000,32,42.0,False,31,2,21,1,1,1,True,1
chi_square-separated-n1000-d32-seed42,synthetic,chi_square,separated_clusters,1000,32,42.0,False,31,1,21,17,1,1,True,1
chi_square-iid-n1000-d64-seed42,synthetic,chi_square,iid,1000,64,42.0,False,31,0,35,31,1,1,True,1
chi_square-separated-n1000-d64-seed42,synthetic,chi_square,separated_clusters,1000,64,42.0,False,31,1,31,1,1,1,True,1
chi_square-iid-n5000-d2-seed42,synthetic,chi_square,iid,5000,2,42.0,False,70,29,15,7,1,1,True,1
chi_square-separated-n5000-d2-seed42,synthetic,chi_square,separated_clusters,5000,2,42.0,False,70,17,9,8,2,2,True,1
chi_square-iid-n5000-d10-seed42,synthetic,chi_square,iid,5000,10,42.0,False,70,6,22,13,1,1,True,1
chi_square-separated-n5000-d10-seed42,synthetic,chi_square,separated_clusters,5000,10,42.0,False,70,4,32,14,1,1,True,1
chi_square-iid-n5000-d32-seed42,synthetic,chi_square,iid,5000,32,42.0,False,70,1,78,16,1,1,True,1
chi_square-separated-n5000-d32-seed42,synthetic,chi_square,separated_clusters,5000,32,42.0,False,70,1,77,8,1,1,True,1
chi_square-iid-n5000-d64-seed42,synthetic,chi_square,iid,5000,64,42.0,False,70,0,210,70,1,1,True,1
chi_square-separated-n5000-d64-seed42,synthetic,chi_square,separated_clusters,5000,64,42.0,False,70,0,206,70,1,1,True,1
chi_square-iid-n10000-d2-seed42,synthetic,chi_square,iid,10000,2,42.0,False,100,29,24,16,1,1,True,1
chi_square-separated-n10000-d2-seed42,synthetic,chi_square,separated_clusters,10000,2,42.0,False,100,17,11,11,1,1,True,1
chi_square-iid-n10000-d10-seed42,synthetic,chi_square,iid,10000,10,42.0,False,100,6,25,12,1,1,True,1
chi_square-separated-n10000-d10-seed42,synthetic,chi_square,separated_clusters,10000,10,42.0,False,100,4,39,19,1,1,True,1
chi_square-iid-n10000-d32-seed42,synthetic,chi_square,iid,10000,32,42.0,False,100,1,148,1,1,1,True,1
chi_square-separated-n10000-d32-seed42,synthetic,chi_square,separated_clusters,10000,32,42.0,False,100,0,130,100,1,1,True,1
chi_square-iid-n10000-d64-seed42,synthetic,chi_square,iid,10000,64,42.0,False,100,0,440,100,1,1,True,1
chi_square-separated-n10000-d64-seed42,synthetic,chi_square,separated_clusters,10000,64,42.0,False,100,0,450,100,1,1,True,1
gamma-iid-n1000-d2-seed42,synthetic,gamma,iid,1000,2,42.0,False,31,22,2,1,1,1,True,1
gamma-separated-n1000-d2-seed42,synthetic,gamma,separated_clusters,1000,2,42.0,False,31,10,5,3,1,1,True,1
gamma-iid-n1000-d10-seed42,synthetic,gamma,iid,1000,10,42.0,False,31,6,9,9,1,1,True,1
gamma-separated-n1000-d10-seed42,synthetic,gamma,separated_clusters,1000,10,42.0,False,31,5,9,6,1,1,True,1
gamma-iid-n1000-d32-seed42,synthetic,gamma,iid,1000,32,42.0,False,31,1,15,12,1,1,True,1
gamma-separated-n1000-d32-seed42,synthetic,gamma,separated_clusters,1000,32,42.0,False,31,2,12,5,1,1,True,1
gamma-iid-n1000-d64-seed42,synthetic,gamma,iid,1000,64,42.0,False,31,0,40,31,1,1,True,1
gamma-separated-n1000-d64-seed42,synthetic,gamma,separated_clusters,1000,64,42.0,False,31,1,20,15,1,1,True,1
gamma-iid-n5000-d2-seed42,synthetic,gamma,iid,5000,2,42.0,False,70,24,8,2,1,1,True,1
gamma-separated-n5000-d2-seed42,synthetic,gamma,separated_clusters,5000,2,42.0,False,70,15,6,1,1,1,True,1
gamma-iid-n5000-d10-seed42,synthetic,gamma,iid,5000,10,42.0,False,70,6,20,5,1,1,True,1
gamma-separated-n5000-d10-seed42,synthetic,gamma,separated_clusters,5000,10,42.0,False,70,4,30,7,1,1,True,1
gamma-iid-n5000-d32-seed42,synthetic,gamma,iid,5000,32,42.0,False,70,1,91,8,1,1,True,1
gamma-separated-n5000-d32-seed42,synthetic,gamma,separated_clusters,5000,32,42.0,False,70,1,83,7,1,1,True,1
gamma-iid-n5000-d64-seed42,synthetic,gamma,iid,5000,64,42.0,False,70,0,215,70,1,1,True,1
gamma-separated-n5000-d64-seed42,synthetic,gamma,separated_clusters,5000,64,42.0,False,70,0,190,70,1,1,True,1
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,10000,2,42.0,False,100,25,13,6,1,1,True,1
gamma-separated-n10000-d2-seed42,synthetic,gamma,separated_clusters,10000,2,42.0,False,100,18,14,4,1,1,True,1
gamma-iid-n10000-d10-seed42,synthetic,gamma,iid,10000,10,42.0,False,100,6,30,4,1,1,True,1
gamma-separated-n10000-d10-seed42,synthetic,gamma,separated_clusters,10000,10,42.0,False,100,3,35,30,1,1,True,1
gamma-iid-n10000-d32-seed42,synthetic,gamma,iid,10000,32,42.0,False,100,0,125,100,1,1,True,1
gamma-separated-n10000-d32-seed42,synthetic,gamma,separated_clusters,10000,32,42.0,False,100,0,138,100,1,1,True,1
gamma-iid-n10000-d64-seed42,synthetic,gamma,iid,10000,64,42.0,False,100,0,457,100,2,2,True,1
gamma-separated-n10000-d64-seed42,synthetic,gamma,separated_clusters,10000,64,42.0,False,100,0,416,100,1,1,True,1
beta-iid-n1000-d2-seed42,synthetic,beta,iid,1000,2,42.0,False,31,21,6,5,1,1,True,1
beta-separated-n1000-d2-seed42,synthetic,beta,separated_clusters,1000,2,42.0,False,31,13,7,7,1,1,True,1
beta-iid-n1000-d10-seed42,synthetic,beta,iid,1000,10,42.0,False,31,8,10,3,1,1,True,1
beta-separated-n1000-d10-seed42,synthetic,beta,separated_clusters,1000,10,42.0,False,31,9,6,5,1,1,True,1
beta-iid-n1000-d32-seed42,synthetic,beta,iid,1000,32,42.0,False,31,3,8,7,1,1,True,1
beta-separated-n1000-d32-seed42,synthetic,beta,separated_clusters,1000,32,42.0,False,31,6,10,5,1,1,True,1
beta-iid-n1000-d64-seed42,synthetic,beta,iid,1000,64,42.0,False,31,2,16,7,1,1,True,1
beta-separated-n1000-d64-seed42,synthetic,beta,separated_clusters,1000,64,42.0,False,31,6,7,4,1,1,True,1
beta-iid-n5000-d2-seed42,synthetic,beta,iid,5000,2,42.0,False,70,23,18,12,1,1,True,1
beta-separated-n5000-d2-seed42,synthetic,beta,separated_clusters,5000,2,42.0,False,70,17,15,2,1,2,True,1
beta-iid-n5000-d10-seed42,synthetic,beta,iid,5000,10,42.0,False,70,6,30,12,1,1,True,1
beta-separated-n5000-d10-seed42,synthetic,beta,separated_clusters,5000,10,42.0,False,70,6,31,9,1,1,True,1
beta-iid-n5000-d32-seed42,synthetic,beta,iid,5000,32,42.0,False,70,1,65,34,1,1,True,1
beta-separated-n5000-d32-seed42,synthetic,beta,separated_clusters,5000,32,42.0,False,70,2,42,17,1,1,True,1
beta-iid-n5000-d64-seed42,synthetic,beta,iid,5000,64,42.0,False,70,0,120,70,1,1,True,1
beta-separated-n5000-d64-seed42,synthetic,beta,separated_clusters,5000,64,42.0,False,70,1,65,22,1,1,True,1
beta-iid-n10000-d2-seed42,synthetic,beta,iid,10000,2,42.0,False,100,23,18,12,1,1,True,1
beta-separated-n10000-d2-seed42,synthetic,beta,separated_clusters,10000,2,42.0,False,100,17,15,12,1,1,True,1
beta-iid-n10000-d10-seed42,synthetic,beta,iid,10000,10,42.0,False,100,5,42,21,1,1,True,1
beta-separated-n10000-d10-seed42,synthetic,beta,separated_clusters,10000,10,42.0,False,100,4,46,44,1,1,True,1
beta-iid-n10000-d32-seed42,synthetic,beta,iid,10000,32,42.0,False,100,1,124,15,1,1,True,1
beta-separated-n10000-d32-seed42,synthetic,beta,separated_clusters,10000,32,42.0,False,100,1,78,44,1,1,True,1
beta-iid-n10000-d64-seed42,synthetic,beta,iid,10000,64,42.0,False,100,0,236,100,1,1,True,1
beta-separated-n10000-d64-seed42,synthetic,beta,separated_clusters,10000,64,42.0,False,100,0,126,100,1,1,True,1
von_mises-iid-n1000-d2-seed42,synthetic,von_mises,iid,1000,2,42.0,False,31,15,4,1,1,1,True,1
von_mises-separated-n1000-d2-seed42,synthetic,von_mises,separated_clusters,1000,2,42.0,False,31,11,6,2,1,1,True,1
von_mises-iid-n1000-d10-seed42,synthetic,von_mises,iid,1000,10,42.0,False,31,3,12,11,1,1,True,1
von_mises-separated-n1000-d10-seed42,synthetic,von_mises,separated_clusters,1000,10,42.0,False,31,3,10,10,1,1,True,1
von_mises-iid-n1000-d32-seed42,synthetic,von_mises,iid,1000,32,42.0,False,31,1,23,15,1,1,True,1
von_mises-separated-n1000-d32-seed42,synthetic,von_mises,separated_clusters,1000,32,42.0,False,31,3,13,13,1,1,True,1
von_mises-iid-n1000-d64-seed42,synthetic,von_mises,iid,1000,64,42.0,False,31,0,35,31,1,1,True,1
von_mises-separated-n1000-d64-seed42,synthetic,von_mises,separated_clusters,1000,64,42.0,False,31,3,10,2,1,1,True,1
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,5000,2,42.0,False,70,21,5,5,1,1,True,1
von_mises-separated-n5000-d2-seed42,synthetic,von_mises,separated_clusters,5000,2,42.0,False,70,10,7,7,1,1,True,1
von_mises-iid-n5000-d10-seed42,synthetic,von_mises,iid,5000,10,42.0,False,70,2,31,25,1,1,True,1
