dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n50000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,128,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,3228,223,1,1,16.032735772000024,6.468173013000069
gaussian-separated-n100000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,2,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,17,44,9,1,1,20.366016992999903,13.2410652640001
gaussian-separated-n100000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,10,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,1,309,148,2,2,24.17738518100009,13.372064428000158
gaussian-separated-n100000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,32,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,1986,316,2,4,24.672127316000115,13.561650075999978
gaussian-separated-n100000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,64,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,4632,316,1,1,29.65018481199968,12.66873535700006
gaussian-separated-n100000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,128,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,8341,316,1,1,36.09205647900035,12.64512407400025
gaussian-separated-n200000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,2,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,19,46,1,1,1,41.52941598999996,26.40104932799977
gaussian-separated-n200000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,10,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,1,595,161,2,3,47.29919411599985,26.636270224000327
gaussian-separated-n200000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,32,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,4324,447,1,3,55.56149557599974,25.867721262000032
gaussian-separated-n200000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,64,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,10816,447,1,2,65.051232239,26.24046836799971
gaussian-separated-n200000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,200000,128,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,20386,447,1,1,82.03228745399974,25.968727811000008
gaussian-separated-n500000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,2,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,22,65,18,1,1,104.5837049820002,67.97873982300007
gaussian-separated-n500000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,10,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,1,1061,170,1,3,120.5907359540006,65.5451478469995
gaussian-separated-n500000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,32,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,11758,707,2,2,151.8807465310001,64.89122881299954
gaussian-separated-n500000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,64,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,32399,707,2,2,197.18904270700023,65.20047225599956
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,66734,707,2,2,230.39967615800012,65.70459297799971
gaussian-separated-n1000000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,2,42.0,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,24,78,66,1,1,211.90014469299967,135.1611455789989
gaussian-separated-n1000000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,10,42.0,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,1,1796,96,1,1,247.5111042849985,129.253608119001
gaussian-separated-n1000000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,32,42.0,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,24231,1000,1,2,340.0560118040012,131.40248086700012
gaussian-separated-n1000000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,64,42.0,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,73044,1000,1,1,438.5607097039992,133.00239493400113
gaussian-separated-n1000000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000000,128,42.0,False,2,50,49,False,0.0,6,166667,166666,50000000,0,1000,0,160095,1000,1,1,506.7185116599994,130.75635869600046
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,13,3,3,1,1,0.3246066880001308,0.1223852659986732
poisson-separated-n1000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,8,5,1,1,0.3322199670001282,0.1171538449998479
poisson-separated-n1000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,12,6,1,1,0.3214065580013994,0.1266228339991357
poisson-separated-n1000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,13,4,1,1,0.3495100370000727,0.1173329670000384
poisson-separated-n1000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,128,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,3,15,13,1,1,0.341712468998594,0.1246980550004082
poisson-iid-n5000-d2-seed42,synthetic,poisson,iid,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,28,2491,51,250000,0,70,0,195,70,32,34,18.02224746599859,0.6080781069995282
poisson-iid-n5000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,5000,2,42.0,False,2,50,49,False,0.0,9,4448,51,252415,70,70,0,195,70,32,34,18.02224746599859,0.610831681999116
poisson-iid-n5000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,5000,2,42.0,False,2,50,49,False,0.0,21,2491,51,252415,70,70,0,195,70,32,34,18.02224746599859,0.5743157209999481
poisson-separated-n5000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,13,32,3,2,2,1.1364220109990129,0.6436769800002367
poisson-separated-n5000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,4,33,1,1,1,1.0993874300002062,0.6058351889987534
poisson-separated-n5000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,31,1,1,1.022621746000368,0.6077624709996599
poisson-separated-n5000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,91,1,1,1,1.1623341260001323,0.5948989910011733
poisson-separated-n5000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,5000,128,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,120,70,1,1,1.2308715879989904,0.6165771380001388
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,49,3232,52,500000,0,100,0,1190,100,10,22,19.03126628399877,1.248607991001336
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,10000,2,42.0,False,2,50,49,False,0.0,15,8635,52,504950,100,100,0,1190,100,10,22,19.03126628399877,1.1774380629994994
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,10000,2,42.0,False,2,50,49,False,0.0,36,3232,74,504950,100,100,0,1190,100,10,22,19.03126628399877,1.1409871949999797
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,17,1560,54,500000,0,100,9,13,8,1,1,2.071874499999467,1.1324478870010353
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,10000,2,42.0,False,2,50,49,False,0.0,6,9675,54,504950,100,100,9,13,8,1,1,2.071874499999467,1.1338681810011622
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,10000,2,42.0,False,2,50,49,False,0.0,5,9637,71,504950,100,100,9,13,8,1,1,2.071874499999467,1.217993825999656
poisson-separated-n10000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,3,51,9,1,1,2.128562414000044,1.1428077590007888
poisson-separated-n10000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,109,100,1,1,2.208826197000235,1.1674681430013152
poisson-separated-n10000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,228,100,1,1,2.252332169999136,1.2590794790012296
poisson-separated-n10000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,128,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,344,100,1,2,2.548831414000233,1.1458867250003095
