dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
gaussian-iid-n100000-d2-seed42,synthetic,gaussian,iid,100000,2,42.0,False,316,32,27,25,1,1,True,1
gaussian-separated-n100000-d2-seed42,synthetic,gaussian,separated_clusters,100000,2,42.0,False,316,17,44,9,1,1,True,1
gaussian-iid-n100000-d10-seed42,synthetic,gaussian,iid,100000,10,42.0,False,316,2,294,16,1,1,True,1
gaussian-separated-n100000-d10-seed42,synthetic,gaussian,separated_clusters,100000,10,42.0,False,316,1,309,148,2,2,True,1
gaussian-iid-n100000-d32-seed42,synthetic,gaussian,iid,100000,32,42.0,False,316,0,2398,316,1,1,True,1
gaussian-separated-n100000-d32-seed42,synthetic,gaussian,separated_clusters,100000,32,42.0,False,316,0,1986,316,2,4,True,1
gaussian-iid-n100000-d64-seed42,synthetic,gaussian,iid,100000,64,42.0,False,316,0,6718,316,1,2,True,1
gaussian-separated-n100000-d64-seed42,synthetic,gaussian,separated_clusters,100000,64,42.0,False,316,0,4632,316,1,1,True,1
gaussian-iid-n100000-d128-seed42,synthetic,gaussian,iid,100000,128,42.0,False,316,0,14173,316,1,1,True,1
gaussian-separated-n100000-d128-seed42,synthetic,gaussian,separated_clusters,100000,128,42.0,False,316,0,8341,316,1,1,True,1
gaussian-iid-n200000-d2-seed42,synthetic,gaussian,iid,200000,2,42.0,False,447,34,134,11,1,1,True,1
gaussian-separated-n200000-d2-seed42,synthetic,gaussian,separated_clusters,200000,2,42.0,False,447,19,46,1,1,1,True,1
gaussian-iid-n200000-d10-seed42,synthetic,gaussian,iid,200000,10,42.0,False,447,1,330,282,1,1,True,1
gaussian-separated-n200000-d10-seed42,synthetic,gaussian,separated_clusters,200000,10,42.0,False,447,1,595,161,2,3,True,1
gaussian-iid-n200000-d32-seed42,synthetic,gaussian,iid,200000,32,42.0,False,447,0,4844,447,1,1,True,1
gaussian-separated-n200000-d32-seed42,synthetic,gaussian,separated_clusters,200000,32,42.0,False,447,0,4324,447,1,3,True,1
gaussian-iid-n200000-d64-seed42,synthetic,gaussian,iid,200000,64,42.0,False,447,0,15077,447,1,1,True,1
gaussian-separated-n200000-d64-seed42,synthetic,gaussian,separated_clusters,200000,64,42.0,False,447,0,10816,447,1,2,True,1
gaussian-iid-n200000-d128-seed42,synthetic,gaussian,iid,200000,128,42.0,False,447,0,33942,447,1,1,True,1
gaussian-separated-n200000-d128-seed42,synthetic,gaussian,separated_clusters,200000,128,42.0,False,447,0,20386,447,1,1,True,1
gaussian-iid-n500000-d2-seed42,synthetic,gaussian,iid,500000,2,42.0,False,707,34,275,69,2,3,True,1
gaussian-separated-n500000-d2-seed42,synthetic,gaussian,separated_clusters,500000,2,42.0,False,707,22,65,18,1,1,True,1
gaussian-iid-n500000-d10-seed42,synthetic,gaussian,iid,500000,10,42.0,False,707,1,578,390,1,1,True,1
gaussian-separated-n500000-d10-seed42,synthetic,gaussian,separated_clusters,500000,10,42.0,False,707,1,1061,170,1,3,True,1
gaussian-iid-n500000-d32-seed42,synthetic,gaussian,iid,500000,32,42.0,False,707,0,12164,707,3,3,True,1
gaussian-separated-n500000-d32-seed42,synthetic,gaussian,separated_clusters,500000,32,42.0,False,707,0,11758,707,2,2,True,1
gaussian-iid-n500000-d64-seed42,synthetic,gaussian,iid,500000,64,42.0,False,707,0,44049,707,1,1,True,1
gaussian-separated-n500000-d64-seed42,synthetic,gaussian,separated_clusters,500000,64,42.0,False,707,0,32399,707,2,2,True,1
gaussian-iid-n500000-d128-seed42,synthetic,gaussian,iid,500000,128,42.0,False,707,0,105051,707,1,1,True,1
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,500000,128,42.0,False,707,0,66734,707,2,2,True,1
gaussian-iid-n1000000-d2-seed42,synthetic,gaussian,iid,1000000,2,42.0,False,1000,34,537,90,3,3,True,1
gaussian-separated-n1000000-d2-seed42,synthetic,gaussian,separated_clusters,1000000,2,42.0,False,1000,24,78,66,1,1,True,1
gaussian-iid-n1000000-d10-seed42,synthetic,gaussian,iid,1000000,10,42.0,False,1000,1,902,500,4,4,True,1
gaussian-separated-n1000000-d10-seed42,synthetic,gaussian,separated_clusters,1000000,10,42.0,False,1000,1,1796,96,1,1,True,1
gaussian-iid-n1000000-d32-seed42,synthetic,gaussian,iid,1000000,32,42.0,False,1000,0,24382,1000,4,4,True,1
gaussian-separated-n1000000-d32-seed42,synthetic,gaussian,separated_clusters,1000000,32,42.0,False,1000,0,24231,1000,1,2,True,1
gaussian-iid-n1000000-d64-seed42,synthetic,gaussian,iid,1000000,64,42.0,False,1000,0,98784,1000,1,2,True,1
gaussian-separated-n1000000-d64-seed42,synthetic,gaussian,separated_clusters,1000000,64,42.0,False,1000,0,73044,1000,1,1,True,1
gaussian-iid-n1000000-d128-seed42,synthetic,gaussian,iid,1000000,128,42.0,False,1000,0,235152,1000,2,2,True,1
gaussian-separated-n1000000-d128-seed42,synthetic,gaussian,separated_clusters,1000000,128,42.0,False,1000,0,160095,1000,1,1,True,1
poisson-iid-n1000-d2-seed42,synthetic,poisson,iid,1000,2,42.0,False,31,17,7,2,1,2,True,1
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,1000,2,42.0,False,31,13,3,3,1,1,True,1
poisson-iid-n1000-d10-seed42,synthetic,poisson,iid,1000,10,42.0,False,31,6,10,5,1,1,True,1
poisson-separated-n1000-d10-seed42,synthetic,poisson,separated_clusters,1000,10,42.0,False,31,6,8,5,1,1,True,1
poisson-iid-n1000-d32-seed42,synthetic,poisson,iid,1000,32,42.0,False,31,2,11,7,1,1,True,1
poisson-separated-n1000-d32-seed42,synthetic,poisson,separated_clusters,1000,32,42.0,False,31,6,12,6,1,1,True,1
poisson-iid-n1000-d64-seed42,synthetic,poisson,iid,1000,64,42.0,False,31,1,20,17,1,1,True,1
poisson-separated-n1000-d64-seed42,synthetic,poisson,separated_clusters,1000,64,42.0,False,31,4,13,4,1,1,True,1
poisson-iid-n1000-d128-seed42,synthetic,poisson,iid,1000,128,42.0,False,31,1,34,3,1,1,True,1
poisson-separated-n1000-d128-seed42,synthetic,poisson,separated_clusters,1000,128,42.0,False,31,3,15,13,1,1,True,1
poisson-iid-n5000-d2-seed42,synthetic,poisson,iid,5000,2,42.0,False,70,0,195,70,32,34,False,21
poisson-separated-n5000-d2-seed42,synthetic,poisson,separated_clusters,5000,2,42.0,False,70,13,32,3,2,2,True,1
poisson-iid-n5000-d10-seed42,synthetic,poisson,iid,5000,10,42.0,False,70,4,28,22,1,1,True,1
poisson-separated-n5000-d10-seed42,synthetic,poisson,separated_clusters,5000,10,42.0,False,70,4,33,1,1,1,True,1
poisson-iid-n5000-d32-seed42,synthetic,poisson,iid,5000,32,42.0,False,70,1,89,7,1,1,True,1
poisson-separated-n5000-d32-seed42,synthetic,poisson,separated_clusters,5000,32,42.0,False,70,1,65,31,1,1,True,1
poisson-iid-n5000-d64-seed42,synthetic,poisson,iid,5000,64,42.0,False,70,0,177,70,1,1,True,1
poisson-separated-n5000-d64-seed42,synthetic,poisson,separated_clusters,5000,64,42.0,False,70,1,91,1,1,1,True,1
poisson-iid-n5000-d128-seed42,synthetic,poisson,iid,5000,128,42.0,False,70,0,290,70,1,1,True,1
poisson-separated-n5000-d128-seed42,synthetic,poisson,separated_clusters,5000,128,42.0,False,70,0,120,70,1,1,True,1
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,10000,2,42.0,False,100,0,1190,100,10,22,False,36
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,10000,2,42.0,False,100,9,13,8,1,1,False,5
poisson-iid-n10000-d10-seed42,synthetic,poisson,iid,10000,10,42.0,False,100,3,26,24,1,1,True,1
poisson-separated-n10000-d10-seed42,synthetic,poisson,separated_clusters,10000,10,42.0,False,100,3,51,9,1,1,True,1
poisson-iid-n10000-d32-seed42,synthetic,poisson,iid,10000,32,42.0,False,100,0,134,100,1,1,True,1
poisson-separated-n10000-d32-seed42,synthetic,poisson,separated_clusters,10000,32,42.0,False,100,0,109,100,1,1,True,1
poisson-iid-n10000-d64-seed42,synthetic,poisson,iid,10000,64,42.0,False,100,0,360,100,1,1,True,1
poisson-separated-n10000-d64-seed42,synthetic,poisson,separated_clusters,10000,64,42.0,False,100,0,228,100,1,1,True,1
poisson-iid-n10000-d128-seed42,synthetic,poisson,iid,10000,128,42.0,False,100,0,704,100,1,1,True,1
poisson-separated-n10000-d128-seed42,synthetic,poisson,separated_clusters,10000,128,42.0,False,100,0,344,100,1,2,True,1
poisson-iid-n25000-d2-seed42,synthetic,poisson,iid,25000,2,42.0,False,158,0,10492,158,16,30,False,124
poisson-separated-n25000-d2-seed42,synthetic,poisson,separated_clusters,25000,2,42.0,False,158,0,4444,158,1,2,False,126
poisson-iid-n25000-d10-seed42,synthetic,poisson,iid,25000,10,42.0,False,158,3,67,38,1,1,True,1
poisson-separated-n25000-d10-seed42,synthetic,poisson,separated_clusters,25000,10,42.0,False,158,2,104,64,1,1,True,1
poisson-iid-n25000-d32-seed42,synthetic,poisson,iid,25000,32,42.0,False,158,0,417,158,1,1,True,1
poisson-separated-n25000-d32-seed42,synthetic,poisson,separated_clusters,25000,32,42.0,False,158,0,326,158,1,1,True,1
poisson-iid-n25000-d64-seed42,synthetic,poisson,iid,25000,64,42.0,False,158,0,1159,158,1,1,True,1
poisson-separated-n25000-d64-seed42,synthetic,poisson,separated_clusters,25000,64,42.0,False,158,0,773,158,1,1,True,1
poisson-iid-n25000-d128-seed42,synthetic,poisson,iid,25000,128,42.0,False,158,0,2389,158,1,1,True,1
poisson-separated-n25000-d128-seed42,synthetic,poisson,separated_clusters,25000,128,42.0,False,158,0,1384,158,1,1,True,1
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,50000,2,42.0,False,223,0,26011,223,31,42,False,244
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,50000,2,42.0,False,223,0,14793,223,27,50,False,289
poisson-iid-n50000-d10-seed42,synthetic,poisson,iid,50000,10,42.0,False,223,3,149,19,1,1,True,1
poisson-separated-n50000-d10-seed42,synthetic,poisson,separated_clusters,50000,10,42.0,False,223,2,157,51,1,1,True,1
poisson-iid-n50000-d32-seed42,synthetic,poisson,iid,50000,32,42.0,False,223,0,881,223,1,1,True,1
poisson-separated-n50000-d32-seed42,synthetic,poisson,separated_clusters,50000,32,42.0,False,223,0,741,223,1,1,True,1
poisson-iid-n50000-d64-seed42,synthetic,poisson,iid,50000,64,42.0,False,223,0,2641,223,1,1,True,1
poisson-separated-n50000-d64-seed42,synthetic,poisson,separated_clusters,50000,64,42.0,False,223,0,1935,223,1,1,True,1
poisson-iid-n50000-d128-seed42,synthetic,poisson,iid,50000,128,42.0,False,223,0,5776,223,1,1,True,1
poisson-separated-n50000-d128-seed42,synthetic,poisson,separated_clusters,50000,128,42.0,False,223,0,3448,223,1,1,True,1
poisson-iid-n100000-d2-seed42,synthetic,poisson,iid,100000,2,42.0,False,316,0,56356,316,1,1,False,508
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,100000,2,42.0,False,316,0,44085,316,1,8,False,617
poisson-iid-n100000-d10-seed42,synthetic,poisson,iid,100000,10,42.0,False,316,2,187,162,1,1,True,1
poisson-separated-n100000-d10-seed42,synthetic,poisson,separated_clusters,100000,10,42.0,False,316,2,302,31,1,1,True,1
poisson-iid-n100000-d32-seed42,synthetic,poisson,iid,100000,32,42.0,False,316,0,1777,316,1,1,True,1
poisson-separated-n100000-d32-seed42,synthetic,poisson,separated_clusters,100000,32,42.0,False,316,0,1614,316,1,1,True,1
poisson-iid-n100000-d64-seed42,synthetic,poisson,iid,100000,64,42.0,False,316,0,5842,316,1,1,True,1
poisson-separated-n100000-d64-seed42,synthetic,poisson,separated_clusters,100000,64,42.0,False,316,0,4505,316,1,1,True,1
poisson-iid-n100000-d128-seed42,synthetic,poisson,iid,100000,128,42.0,False,316,0,13767,316,2,2,True,1
poisson-separated-n100000-d128-seed42,synthetic,poisson,separated_clusters,100000,128,42.0,False,316,0,8502,316,1,1,True,1
poisson-iid-n200000-d2-seed42,synthetic,poisson,iid,200000,2,42.0,False,447,0,121990,447,13,42,False,778
poisson-separated-n200000-d2-seed42,synthetic,poisson,separated_clusters,200000,2,42.0,False,447,0,111070,447,88,99,False,1189
poisson-iid-n200000-d10-seed42,synthetic,poisson,iid,200000,10,42.0,False,447,2,289,177,1,1,True,1
poisson-separated-n200000-d10-seed42,synthetic,poisson,separated_clusters,200000,10,42.0,False,447,1,321,312,1,1,True,1
poisson-iid-n200000-d32-seed42,synthetic,poisson,iid,200000,32,42.0,False,447,0,3477,447,1,1,True,1
poisson-separated-n200000-d32-seed42,synthetic,poisson,separated_clusters,200000,32,42.0,False,447,0,3459,447,1,1,True,1
poisson-iid-n200000-d64-seed42,synthetic,poisson,iid,200000,64,42.0,False,447,0,12787,447,1,1,True,1
poisson-separated-n200000-d64-seed42,synthetic,poisson,separated_clusters,200000,64,42.0,False,447,0,9846,447,1,1,True,1
poisson-iid-n200000-d128-seed42,synthetic,poisson,iid,200000,128,42.0,False,447,0,32536,447,1,1,True,1
poisson-separated-n200000-d128-seed42,synthetic,poisson,separated_clusters,200000,128,42.0,False,447,0,20311,447,2,2,True,1
poisson-iid-n500000-d2-seed42,synthetic,poisson,iid,500000,2,42.0,False,707,0,339043,707,41,68,False,2236
poisson-separated-n500000-d2-seed42,synthetic,poisson,separated_clusters,500000,2,42.0,False,707,0,303987,707,8,18,False,2925
poisson-iid-n500000-d10-seed42,synthetic,poisson,iid,500000,10,42.0,False,707,2,519,257,1,1,True,1
poisson-separated-n500000-d10-seed42,synthetic,poisson,separated_clusters,500000,10,42.0,False,707,1,607,452,2,2,True,1
poisson-iid-n500000-d32-seed42,synthetic,poisson,iid,500000,32,42.0,False,707,0,8601,707,1,4,True,1
poisson-separated-n500000-d32-seed42,synthetic,poisson,separated_clusters,500000,32,42.0,False,707,0,8780,707,4,4,True,1
poisson-iid-n500000-d64-seed42,synthetic,poisson,iid,500000,64,42.0,False,707,0,35938,707,1,1,True,1
poisson-separated-n500000-d64-seed42,synthetic,poisson,separated_clusters,500000,64,42.0,False,707,0,28407,707,1,2,True,1
poisson-iid-n500000-d128-seed42,synthetic,poisson,iid,500000,128,42.0,False,707,0,98788,707,1,1,True,1
poisson-separated-n500000-d128-seed42,synthetic,poisson,separated_clusters,500000,128,42.0,False,707,0,65460,707,1,1,True,1
poisson-iid-n1000000-d2-seed42,synthetic,poisson,iid,1000000,2,42.0,False,1000,0,692367,1000,7,25,False,4555
poisson-separated-n1000000-d2-seed42,synthetic,poisson,separated_clusters,1000000,2,42.0,False,1000,0,638639,1000,69,133,False,5547
poisson-iid-n1000000-d10-seed42,synthetic,poisson,iid,1000000,10,42.0,False,1000,2,802,345,1,1,True,1
poisson-separated-n1000000-d10-seed42,synthetic,poisson,separated_clusters,1000000,10,42.0,False,1000,1,919,569,3,3,True,1
poisson-iid-n1000000-d32-seed42,synthetic,poisson,iid,1000000,32,42.0,False,1000,0,16482,1000,4,4,True,1
poisson-separated-n1000000-d32-seed42,synthetic,poisson,separated_clusters,1000000,32,42.0,False,1000,0,17450,1000,1,5,True,1
poisson-iid-n1000000-d64-seed42,synthetic,poisson,iid,1000000,64,42.0,False,1000,0,77895,1000,1,1,True,1
poisson-separated-n1000000-d64-seed42,synthetic,poisson,separated_clusters,1000000,64,42.0,False,1000,0,61979,1000,3,4,True,1
poisson-iid-n1000000-d128-seed42,synthetic,poisson,iid,1000000,128,42.0,False,1000,0,222063,1000,1,1,True,1
poisson-separated-n1000000-d128-seed42,synthetic,poisson,separated_clusters,1000000,128,42.0,False,1000,0,154957,1000,1,1,True,1
chi_square-iid-n1000-d2-seed42,synthetic,chi_square,iid,1000,2,42.0,False,31,27,3,1,1,1,True,1
chi_square-separated-n1000-d2-seed42,synthetic,chi_square,separated_clusters,1000,2,42.0,False,31,9,6,6,1,1,True,1
chi_square-iid-n1000-d10-seed42,synthetic,chi_square,iid,1000,10,42.0,False,31,7,6,6,1,1,True,1
chi_square-separated-n1000-d10-seed42,synthetic,chi_square,separated_clusters,1000,10,42.0,False,31,4,4,4,1,1,True,1
chi_square-iid-n1000-d32-seed42,synthetic,chi_square,iid,1000,32,42.0,False,31,2,21,1,1,1,True,1
chi_square-separated-n1000-d32-seed42,synthetic,chi_square,separated_clusters,1000,32,42.0,False,31,1,21,17,1,1,True,1
chi_square-iid-n1000-d64-seed42,synthetic,chi_square,iid,1000,64,42.0,False,31,0,35,31,1,1,True,1
chi_square-separated-n1000-d64-seed42,synthetic,chi_square,separated_clusters,1000,64,42.0,False,31,1,31,1,1,1,True,1
chi_square-iid-n1000-d128-seed42,synthetic,chi_square,iid,1000,128,42.0,False,31,0,98,31,1,1,True,1
chi_square-separated-n1000-d128-seed42,synthetic,chi_square,separated_clusters,1000,128,42.0,False,31,0,38,31,1,1,True,1
chi_square-iid-n5000-d2-seed42,synthetic,chi_square,iid,5000,2,42.0,False,70,29,15,7,1,1,True,1
chi_square-separated-n5000-d2-seed42,synthetic,chi_square,separated_clusters,5000,2,42.0,False,70,17,9,8,2,2,True,1
chi_square-iid-n5000-d10-seed42,synthetic,chi_square,iid,5000,10,42.0,False,70,6,22,13,1,1,True,1
chi_square-separated-n5000-d10-seed42,synthetic,chi_square,separated_clusters,5000,10,42.0,False,70,4,32,14,1,1,True,1
chi_square-iid-n5000-d32-seed42,synthetic,chi_square,iid,5000,32,42.0,False,70,1,76,16,1,1,True,1
chi_square-separated-n5000-d32-seed42,synthetic,chi_square,separated_clusters,5000,32,42.0,False,70,1,77,8,1,1,True,1
chi_square-iid-n5000-d64-seed42,synthetic,chi_square,iid,5000,64,42.0,False,70,0,211,70,1,1,True,1
chi_square-separated-n5000-d64-seed42,synthetic,chi_square,separated_clusters,5000,64,42.0,False,70,0,207,70,1,1,True,1
chi_square-iid-n5000-d128-seed42,synthetic,chi_square,iid,5000,128,42.0,False,70,0,571,70,1,1,True,1
chi_square-separated-n5000-d128-seed42,synthetic,chi_square,separated_clusters,5000,128,42.0,False,70,0,478,70,1,1,True,1
chi_square-iid-n10000-d2-seed42,synthetic,chi_square,iid,10000,2,42.0,False,100,29,24,16,1,1,True,1
chi_square-separated-n10000-d2-seed42,synthetic,chi_square,separated_clusters,10000,2,42.0,False,100,17,11,11,1,1,True,1
chi_square-iid-n10000-d10-seed42,synthetic,chi_square,iid,10000,10,42.0,False,100,6,25,12,1,1,True,1
chi_square-separated-n10000-d10-seed42,synthetic,chi_square,separated_clusters,10000,10,42.0,False,100,4,39,19,1,1,True,1
chi_square-iid-n10000-d32-seed42,synthetic,chi_square,iid,10000,32,42.0,False,100,1,149,1,1,1,True,1
chi_square-separated-n10000-d32-seed42,synthetic,chi_square,separated_clusters,10000,32,42.0,False,100,0,131,100,1,1,True,1
chi_square-iid-n10000-d64-seed42,synthetic,chi_square,iid,10000,64,42.0,False,100,0,435,100,1,1,True,1
chi_square-separated-n10000-d64-seed42,synthetic,chi_square,separated_clusters,10000,64,42.0,False,100,0,450,100,1,1,True,1
chi_square-iid-n10000-d128-seed42,synthetic,chi_square,iid,10000,128,42.0,False,100,0,1190,100,1,1,True,1
chi_square-separated-n10000-d128-seed42,synthetic,chi_square,separated_clusters,10000,128,42.0,False,100,0,1015,100,1,1,True,1
chi_square-iid-n25000-d2-seed42,synthetic,chi_square,iid,25000,2,42.0,False,158,30,26,16,1,1,True,1
chi_square-separated-n25000-d2-seed42,synthetic,chi_square,separated_clusters,25000,2,42.0,False,158,23,16,1,1,1,True,1
chi_square-iid-n25000-d10-seed42,synthetic,chi_square,iid,25000,10,42.0,False,158,6,45,18,1,1,True,1
chi_square-separated-n25000-d10-seed42,synthetic,chi_square,separated_clusters,25000,10,42.0,False,158,4,70,24,1,1,True,1
chi_square-iid-n25000-d32-seed42,synthetic,chi_square,iid,25000,32,42.0,False,158,0,204,158,1,1,True,1
chi_square-separated-n25000-d32-seed42,synthetic,chi_square,separated_clusters,25000,32,42.0,False,158,0,300,158,1,1,True,1
chi_square-iid-n25000-d64-seed42,synthetic,chi_square,iid,25000,64,42.0,False,158,0,1061,158,2,2,True,1
chi_square-separated-n25000-d64-seed42,synthetic,chi_square,separated_clusters,25000,64,42.0,False,158,0,1127,158,1,2,True,1
chi_square-iid-n25000-d128-seed42,synthetic,chi_square,iid,25000,128,42.0,False,158,0,3253,158,1,1,True,1
chi_square-separated-n25000-d128-seed42,synthetic,chi_square,separated_clusters,25000,128,42.0,False,158,0,2975,158,2,2,True,1
chi_square-iid-n50000-d2-seed42,synthetic,chi_square,iid,50000,2,42.0,False,223,30,46,44,1,1,True,1
chi_square-separated-n50000-d2-seed42,synthetic,chi_square,separated_clusters,50000,2,42.0,False,223,24,29,19,1,1,True,1
chi_square-iid-n50000-d10-seed42,synthetic,chi_square,iid,50000,10,42.0,False,223,6,69,20,1,1,True,1
chi_square-separated-n50000-d10-seed42,synthetic,chi_square,separated_clusters,50000,10,42.0,False,223,4,93,6,1,1,True,1
chi_square-iid-n50000-d32-seed42,synthetic,chi_square,iid,50000,32,42.0,False,223,0,396,223,2,2,True,1
