n_features,selected_from_ties_degree_only,selected_from_ties_score_tie_break,candidate_tie_count
2,98.09876543209876,7.333333333333333,27571.765432098764
10,132.35185185185185,3.0185185185185186,5181.771604938272
32,331.24074074074076,1.4938271604938271,3862.641975308642
64,336.8395061728395,1.2037037037037037,14331.358024691359
128,337.8703703703704,1.0740740740740742,39697.17901234568
