dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,10000,2,42.0,False,2,50,49,False,0.0,15,8635,52,504950,100,100,0,1190,100,10,22,0.700072186999023,1.1381441699995776
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,10000,2,42.0,False,2,50,49,False,0.0,36,3232,74,504950,100,100,0,1190,100,10,22,0.700072186999023,1.2827522070001578
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,17,1560,54,500000,0,100,9,13,8,1,1,0.7166882829988026,1.1105942360009067
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,10000,2,42.0,False,2,50,49,False,0.0,6,9675,54,504950,100,100,9,13,8,1,1,0.7166882829988026,1.0891451799980132
poisson-separated-n10000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,10000,2,42.0,False,2,50,49,False,0.0,5,9637,71,504950,100,100,9,13,8,1,1,0.7166882829988026,1.2183678619985585
poisson-separated-n10000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,3,51,9,1,1,0.6319570579980791,1.0834207869993406
poisson-separated-n10000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,109,100,1,1,0.6442003619995376,1.1006311639976047
poisson-separated-n10000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,227,100,1,1,0.8601354470010847,1.6381407699991541
chi_square-separated-n1000-d2-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,4,499,167,50000,0,31,9,6,6,1,1,0.16334328999801073,0.12806413400176098
chi_square-separated-n1000-d10-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,4,4,1,1,0.168477408002218,0.11757616499744472
