benchmark_group,dataset,family,distribution,structure,n_samples,n_features,n_clusters_true,seed,normalized,k,k_max,reference_method,hai_definition,method,method_key,status,error,fit_seconds,extract_seconds,total_seconds,workflow_seconds_contribution,n_clusters_found,ari_vs_hdbscan_generic,ari_vs_true,hai,mst_edge_jaccard,mst_common_edges,mst_method_edges,mst_reference_edges,mst_weight_mae_common,mst_weight_rmse_common
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,28,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.27498145602294244,1.6242846900131553,0.27498145602294244,2,0.0030311340948523707,,0.999987931968,0.9661750245821042,4913,4999,4999,2.582242329595526e-08,3.692355668210682e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,27,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.6191619810124394,0.0,1.6191619810124394,1.6191619810124394,2,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,27,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.2734046599944122,0.0,0.2734046599944122,0.2734046599944122,2,1.0,,0.999995228704,0.08721183123096998,802,4999,4999,4.479479962355272e-16,6.659115297608507e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,27,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,0.28063516298425384,17.128706656978466,0.28063516298425384,2,0.00603451194347156,,0.999988272416,0.9700492610837439,4923,4999,4999,2.5168561758283814e-08,3.683642585212905e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,27,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.27231025201035663,1.6216134860005695,0.27231025201035663,2,0.00603451194347156,,0.999988272416,0.9700492610837439,4923,4999,4999,2.5168561758283814e-08,3.683642585212905e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,26,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.6274279749777634,0.0,1.6274279749777634,1.6274279749777634,2,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,26,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.2684095940203406,0.0,0.2684095940203406,0.2684095940203406,2,1.0,,0.999994647936,0.1042633090346808,944,4999,4999,4.973805030739264e-16,7.196027301497945e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,26,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,0.2750986300234217,17.123170124017633,0.2750986300234217,2,0.007312969773541624,,0.999983887104,0.9584720861900098,4893,4999,4999,2.518448610960838e-08,3.65664835505637e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,26,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.27631287698750384,1.6256161109777167,0.27631287698750384,2,0.007312969773541624,,0.999983887104,0.9584720861900098,4893,4999,4999,2.518448610960838e-08,3.65664835505637e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,25,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.6179572240216658,0.0,1.6179572240216658,1.6179572240216658,2,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,25,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.2709147699933965,0.0,0.2709147699933965,0.2709147699933965,2,1.0,,0.999995143232,0.11834451901565995,1058,4999,4999,4.701920432503942e-16,6.78418027345299e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,25,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,0.27462897400255315,17.122700467996765,0.27462897400255315,2,0.014735258838468204,,0.99998332208,0.9580885233059147,4892,4999,4999,2.5493703314949764e-08,3.672711715074456e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,25,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.27088662001187913,1.620189854002092,0.27088662001187913,2,0.014735258838468204,,0.99998332208,0.9580885233059147,4892,4999,4999,2.5493703314949764e-08,3.672711715074456e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,24,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.6085193729959428,0.0,1.6085193729959428,1.6085193729959428,3,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,24,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.27459715801524,0.0,0.27459715801524,0.27459715801524,3,1.0,,0.99999574288,0.10768889873698205,972,4999,4999,4.848088094672302e-16,7.179094036363666e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,24,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,0.27683449001051486,17.124905984004727,0.27683449001051486,2,-0.018030297178065348,,0.99998591456,0.9638577882537812,4907,4999,4999,2.4984888695744987e-08,3.6734864236687264e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,24,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.2689968829799909,1.6183001169702038,0.2689968829799909,2,-0.018030297178065348,,0.99998591456,0.9638577882537812,4907,4999,4999,2.4984888695744987e-08,3.6734864236687264e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,23,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.6080884139810223,0.0,1.6080884139810223,1.6080884139810223,4,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,23,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.2787675560102798,0.0,0.2787675560102798,0.2787675560102798,4,1.0,,0.999996191104,0.12072637596681986,1077,4999,4999,4.902969601553761e-16,7.317694251743764e-16
